,Unnamed: 0,AltimetriaNorm,AmplitudeNorm,concavoConvNorm,CurvaturaNegativaNorm,CurvaturaPositivaNorm,DeclividadeNorm,GeomIgualA1,GeomIgualA2,GeomIgualA3,GeomIgualA4,GeomIgualA5,GeomIgualA6,GeomIgualA7,GeomIgualA8,OrientacaoEncosta=1,OrientacaoEncosta=2,OrientacaoEncosta=3,OrientacaoEncosta=4,OrientacaoEncosta=5,OrientacaoEncosta=6,OrientacaoEncosta=7,OrientacaoEncosta=8,OrientacaoEncosta=9,UsoSolo=1,UsoSolo=2,UsoSolo=3,UsoSolo=4,UsoSolo=5,positivoDeRisco
OrientacaoEncosta=6,-0.007478203886632246,-0.048572179956162614,-0.0316992147203599,-0.010113187254578881,-0.00075273253850738,-0.03239779287030802,-0.03157398190985176,-0.008251814356251615,-0.018677695226713247,0.025840476168809554,0.004967114382119781,-0.025364496933262846,0.07246941652844639,-0.012367704204769053,-0.01990482044913968,-0.058950533022538276,-0.14285645842533934,-0.10845456669259038,-0.12114751423294691,-0.1575146166762434,1.0,-0.17070748872998262,-0.19345499140289832,-0.17079715516849442,0.02982507247334849,-0.0010815908840449715,-0.013699235331196569,-0.008215810300673733,-0.0015819723363071508,-0.2263290444746725
OrientacaoEncosta=7,0.05777576710059975,-0.028178267476237345,-0.006251450518120483,-0.005331093956930085,0.017593207921361396,-0.012640184236160777,-0.02179010889865993,-0.00943541641230228,0.024812981866263625,0.01611689078503959,-0.011506051851741158,-0.024775248165829832,0.009839770767607448,0.002933717060037863,-0.03139459137795809,-0.057581038921638225,-0.1395377254630528,-0.10593503240366296,-0.11833310700758158,-0.1538553564917909,-0.17070748872998262,1.0,-0.1889607916741988,-0.1668293251175034,0.058841011754036755,0.060612111635304645,-0.08251905481683536,0.0013338779238347663,0.0021250341336488897,-0.10510574898127674
OrientacaoEncosta=8,0.007687426986250311,0.01342901111715798,0.012178064655356344,0.008931167248338789,0.023176254898664223,0.0016219908349935142,-0.008102450440828577,-0.04299329141499023,0.040689871941556766,-0.03592858056534491,0.020119606603441566,-0.028076655901743446,-0.0022813001753469436,-6.469825510163756e-05,0.020943076800026057,-0.06525395852533108,-0.1581317239253325,-0.12005132835925869,-0.13410149940773847,-0.17435724049853435,-0.19345499140289832,-0.1889607916741988,1.0,-0.1890600459093155,-0.00427057880469962,0.05691766913433193,-0.05823339488475795,-0.00909430529504588,0.05266804503045302,0.4215688731214249
OrientacaoEncosta=9,0.002235694095008682,0.042928930252598176,0.061417973394871365,0.03291696533503988,-0.014066546855253145,0.035886407137892755,0.04067109770422809,-0.0443375574923889,0.03882217063290486,-0.022930015268617387,-0.019576678304856755,-0.024788261703118934,-0.051634645928912905,0.012193938480756582,0.03476214840906273,-0.05761128414827872,-0.13961101955800734,-0.1059906762254126,-0.11839526308723199,-0.15393617111783064,-0.17079715516849442,-0.1668293251175034,-0.1890600459093155,1.0,-0.022213822980049716,0.028675044632604563,-0.014498447575042614,0.02003678650209547,0.002096978988994778,0.3842249492703023
UsoSolo=1,0.014703095027883268,0.06838090011281472,-0.0019027174177457817,0.024110800043367707,-0.027638244509197055,0.010056038148851589,0.01916445158690333,-0.006084004877839864,0.04214961494153077,0.0037726247909530583,-0.014812091655433042,-0.009747155818918407,-0.008405997820813665,-0.02944161253009907,-0.024109872403657556,-0.022653712884240056,-0.014614386090069143,-0.01463175560391519,-0.0235016800745214,-0.013209553133181586,0.02982507247334849,0.058841011754036755,-0.00427057880469962,-0.022213822980049716,1.0,-0.043881211164408,-0.48076649802374466,-0.003157199742226376,-0.011913598794685332,-0.013143400955798499
UsoSolo=2,0.02434315194860568,0.32272110609382876,0.20965837418651356,0.01553383420592189,-0.07878349279004704,0.06675266837415911,0.1649937131351566,0.00536494180306272,-0.09052749977386729,0.22811365421895444,0.024656969786113793,-0.01657266647455721,-0.03194034486424494,-0.017220800277200965,-0.0951193353779207,-0.03668620848370808,-0.059419759549991936,-0.04170102404624825,-0.03370342675214778,-0.030795389372650955,-0.0010815908840449715,0.060612111635304645,0.05691766913433193,0.028675044632604563,-0.043881211164408,1.0,-0.8174264341212731,-0.0053680498489551845,-0.020256175545348035,0.05987496854011223
UsoSolo=3,-0.042109013396415956,-0.3399091491724823,-0.17862862812136754,-0.02244869120607158,0.08071302288845247,-0.06201171192910669,-0.15330492255555092,0.00590758787232944,0.06728118006079706,-0.1990519598410333,-0.011336974908335493,0.02027419934416145,-0.02395318572573843,0.020190997516250538,0.10499296400595036,0.04557174941977691,0.06381711077156638,0.04793959562914187,0.04318656664674375,0.036369989059553465,-0.013699235331196569,-0.08251905481683536,-0.05823339488475795,-0.014498447575042614,-0.48076649802374466,-0.8174264341212731,1.0,-0.058812837171459964,-0.22192848196018247,-0.053849951441505256
UsoSolo=4,-0.006569271885298102,0.03667812579501115,0.024440631257736812,-0.004816029938218109,-0.013697891173323908,0.004436317997213429,0.028146333176349413,-0.007338950999191897,-0.006205695420814199,0.023852386431692348,-0.0018119838596907087,-0.0011923831848091606,-0.003914315238053476,-0.0036016335807821085,-0.005366232678410972,-0.0027712603367054814,-0.0067156718824767135,-0.005098441415188493,0.018808769930656832,-0.007404750852365137,-0.008215810300673733,0.0013338779238347663,-0.00909430529504588,0.02003678650209547,-0.003157199742226376,-0.0053680498489551845,-0.058812837171459964,1.0,-0.0014574071798219546,-0.006440695762685265
UsoSolo=5,0.05825409065482275,0.11815075638268736,0.0029895850150992638,-0.011957552976946789,0.004898356089085995,0.00014618148323832953,0.007990117286754202,-0.027693312085644257,-0.050068319943483555,0.010729040101429133,-0.006837466897663931,-0.004499422283405268,0.22659646456050767,0.04053482587685654,-0.047469685162832335,-0.01045726799148406,-0.022490125478351348,-0.0192388161846053,-0.014963501288069383,-0.012076041496513874,-0.0015819723363071508,0.0021250341336488897,0.05266804503045302,0.002096978988994778,-0.011913598794685332,-0.020256175545348035,-0.22192848196018247,-0.0014574071798219546,1.0,0.04274453246886796
positivoDeRisco,0.007876184174154232,0.045913504601769684,0.0524997057684755,0.0226503606442034,0.028321830906153794,0.031450379291445583,0.026234117067299535,-0.05838081382568957,0.053688237743271854,-0.04454337016983319,0.0077713740281529185,-0.03928854799346654,-0.02265492544390342,0.010634573330297168,0.03310334852422649,-0.07465943518871224,-0.06365881393441258,-0.12892706162602863,-0.16035735186037486,-0.2238632684545735,-0.2263290444746725,-0.10510574898127674,0.4215688731214249,0.3842249492703023,-0.013143400955798499,0.05987496854011223,-0.053849951441505256,-0.006440695762685265,0.04274453246886796,1.0
